accidentNumber,eventDate,city,state,latitude,longitude,injuryServerity,model,fatalNum,seriousNum,minorNum,uninjuredNum
CEN14LA075,12/02/2013,Walton,IN,40.632223,-86.198055,Unavailable,560,0,0,0,0
WPR14FAMS1,12/01/2013,Yellow Pine,ID,44.913056,-115.485,Fatal(5),B36TC,5,0,0,0
ERA14LA057,11/30/2013,Elkmont,AL,34.926111,86.970278,Fatal(1),PA-28-161,1,0,0,0
CEN14LA074,11/30/2013,Rock Lake,ND,48.52,99.12,Non-Fatal,PA 28-181,0,3,0,0
WPR14LA059,11/29/2013,Florence,OR,43.980556,-124.110556,Non-Fatal,210,0,0,0,2
CEN14FA071,11/29/2013,Delta,CO,38.811944,108.030834,Fatal(1),182E,1,0,0,0
ANC14FA008,11/29/2013,Saint Marys,AK,62.050833,-163.269167,Fatal(4),208B,4,6,0,0
ERA14LA052,11/28/2013,Trussville,AL,33.603333,86.588889,Non-Fatal,V35,0,0,3,0
ERA14LA051,11/28/2013,Montrose,PA,41.841666,-75.806944,Non-Fatal,210L,0,0,1,0
CEN14LA076,11/27/2013,Lake Providence,LA,32.616389,-91.273334,Non-Fatal,T210L,0,0,0,1
ERA14LA048,11/25/2013,Hopewell,AL,33.356944,-86.947777,Non-Fatal,150L,0,0,0,1
ERA14FA049,11/25/2013,Graniteville,SC,33.646944,-81.868889,Fatal(1),PA-23-160,1,0,0,0
CEN14CA070,11/24/2013,New Orleans,LA,32.0425,-90.028334,Non-Fatal,172,0,0,0,3
ERA14LA071,11/23/2013,Monroe,NC,35.018334,-80.620278,Non-Fatal,PA46 500TP,0,0,0,6
ANC14CA009,11/23/2013,Nenana,AK,64.376667,151.290833,Non-Fatal,A185F,0,0,0,1
DCA14IA016,11/21/2013,Wichita,KS,37.7475,-97.221111,Incident,747 - 409LCF,0,0,0,2
ERA14FA045,11/19/2013,Fort Lauderdale,FL,26.163333,-80.069445,Fatal(4),35,4,0,0,0
CEN14CA063,11/18/2013,Burwell,NE,41.782223,-99.153056,Non-Fatal,PA 28-181,0,0,0,1
ERA14FA044,11/17/2013,Kenansville,NC,35.014722,-77.960556,Fatal(1),FWP 149D,1,0,0,0
CEN14FA057,11/17/2013,Spring,TX,30.059444,-95.550556,Fatal(2),152,2,0,0,0
WPR14LA056,11/16/2013,Oceanside,CA,33.301389,-117.355278,Non-Fatal,T210 - F,0,0,0,3
CEN14LA058,11/16/2013,San Antonio,TX,29.332778,-98.4625,Non-Fatal,PA 28-140,0,1,0,0
ERA14LA043,11/15/2013,Marshfield,MA,42.098333,-70.672223,Non-Fatal,M 5-180C,0,1,0,0
CEN14CA061,11/15/2013,Cypress,TX,30.042777,-95.667223,Non-Fatal,A 1B,0,0,0,1
CEN14LA054,11/14/2013,Erie,CO,40.010278,105,Non-Fatal,MXII SPORT,0,0,0,2
WPR14CA053,11/12/2013,Livermore,CA,37.693333,-121.820278,Non-Fatal,152,0,0,0,1
CEN14LA066,11/12/2013,Winsted,MN,47.963333,-94.0475,Non-Fatal,CHALLENGER I,0,0,0,1
ANC14CA005,11/12/2013,Juneau,AK,57.53,-164.58,Non-Fatal,172,0,0,0,2
WPR14CA048,11/11/2013,San Ynez,CA,34.637777,-119.6175,Non-Fatal,MX 7-235,0,0,0,1
ERA14LA042,11/11/2013,Homestead,FL,25.445,-80.878889,Non-Fatal,PA 28-140,0,0,0,1
ERA14CA046,11/11/2013,Clewiston,FL,26.735277,-81.051111,Non-Fatal,PA 28-161,0,0,0,1
CEN14FA047,11/11/2013,Amarillo,TX,35.250556,-101.675834,Fatal(3),B36TC,3,0,0,0
CEN14FA046,11/10/2013,Owasso,OK,36.2975,-95.874445,Fatal(1),MU 2B-25,1,0,0,0
CEN14CA059,11/10/2013,Lubbock,TX,33.485555,-101.812778,Non-Fatal,SPARROWHAWK II,0,0,0,1
WPR14LA049,11/09/2013,Temecula,CA,33.566667,-117.116667,Non-Fatal,FIREFLY 10,0,5,0,5
WPR14CA047,11/09/2013,LaGrange,WY,41.286111,-104.459722,Non-Fatal,A 1B,0,0,1,0
CEN14LA050,11/09/2013,Concordia,KS,39.558056,-97.653056,Non-Fatal,PA 28-150,0,0,0,2
CEN14LA048,11/09/2013,Shreveport,LA,32.536389,-94.76,Non-Fatal,EC135P1,0,0,3,0
WPR14LA050,11/07/2013,Carefree,AZ,33.818056,-111.898055,Non-Fatal,PA 46 350P,0,0,0,2
WPR14LA045,11/07/2013,Mokuleia,HI,21.572778,-158.197222,Non-Fatal,305A,0,0,1,0
CEN14CA049,11/07/2013,Fort Collins,CO,40.451667,-105.011111,Non-Fatal,M20R,0,0,0,1
WPR14FA044,11/06/2013,Donnelly,ID,44.745833,-115.826945,Fatal(3),U206F,3,0,0,0
CEN14FA042,11/05/2013,Kirksville,MO,40.145833,-92.528334,Fatal(2),PA 32R-301,2,0,0,0
WPR14LA042,11/03/2013,St. Johns,AZ,34.5,-109.37,Non-Fatal,180,0,0,0,1
WPR14LA046,11/02/2013,Wickenburg,AZ,33.970556,-112.695,Non-Fatal,RV-8,0,0,0,1
WPR14CA041,11/02/2013,Superior,MT,47.316667,-115.483334,Non-Fatal,206B,0,0,0,1
CEN14WA038,11/02/2013,Coburg,FN,50.2625,10.995833,Fatal(3),PA-34,3,0,0,0
CEN14LA036B,11/02/2013,Superior,WI,46.689722,-92.094722,Non-Fatal,185F,0,0,1,10
CEN14LA036A,11/02/2013,Superior,WI,46.689722,-92.094722,Non-Fatal,182L,0,0,1,10
CEN14CA055,11/02/2013,Loveland,CO,40.451111,-105.011111,Non-Fatal,172N,0,0,1,1
WPR14LA040,11/01/2013,Reno,NV,39.660278,-119.866667,Non-Fatal,MIG 21 UM,0,1,0,0
WPR14CA039,11/01/2013,Upland,CA,34.112222,-117.686944,Non-Fatal,YUNEEC,0,0,0,2
CEN14FA035,11/01/2013,Springdale,AR,36.154167,94.056944,Fatal(2),C90,2,0,0,0
CEN14CA040,11/01/2013,Braggadocio,MO,36.175556,-89.829445,Non-Fatal,182Q,0,0,0,2
CEN14LA065,10/30/2013,Lubbock,TX,33.663611,101.820556,Non-Fatal,500 - B,0,0,0,1
WPR14LA038,10/29/2013,Kailua Kona,HI,19.728334,-156.043889,Non-Fatal,AS 350,0,0,1,1
ERA14FA027,10/29/2013,Nashville,TN,36.1075,-86.690555,Fatal(1),172F,1,0,0,0
WPR14FA037,10/28/2013,McMinnville,OR,45.224445,-123.203333,Fatal(1),LANCAIR O 235,1,0,0,0
ERA14CA033,10/28/2013,Manassas,VA,38.721111,-77.515,Non-Fatal,SR 5A,0,0,0,1
CEN14LA028,10/28/2013,Princeton,MN,45.56,-93.609722,Fatal(1),PA 22-150,1,0,0,0
CEN14FA032,10/28/2013,Castle Rock,CO,39.424167,-104.845555,Non-Fatal,SPORTSMAN GS-2,0,1,0,0
ERA14LA024,10/27/2013,Everglades City,FL,25.858333,-81.394722,Non-Fatal,PA 28R-201T,0,2,2,0
ERA14CA023,10/27/2013,Wauchula,FL,27.514722,-81.880278,Non-Fatal,182Q,0,0,0,2
CEN14FA024,10/27/2013,Boerne,TX,30.62,98.6925,Fatal(1),1419 - 3,1,0,0,0
WPR14CA035,10/26/2013,Twin Falls,ID,42.575556,-114.442222,Non-Fatal,PA 18-150,0,0,0,2
ERA14CA032,10/26/2013,Palm Coast,FL,29.4675,-81.206389,Non-Fatal,V35B,0,0,0,3
ERA14CA025,10/26/2013,Tylertown,MS,31.145833,-90.168056,Non-Fatal,M20TN,0,0,0,1
CEN14WA060,10/26/2013,Torreilles,FN,42.754444,2.993889,Unavailable,R22 - ALPHA,0,0,0,0
CEN14TA020,10/26/2013,Jefferson City,MO,38.591111,-92.156111,Non-Fatal,OH-58A,0,0,1,1
ERA14CA028,10/25/2013,Newnan,GA,33.311389,-84.768889,Non-Fatal,95 B55 (T42A),0,0,0,4
CEN14LA031,10/25/2013,Borger,TX,35.700833,-101.393611,Non-Fatal,T210L,0,0,0,2
CEN14CA027,10/25/2013,Raymondville,TX,26.481389,-97.783056,Non-Fatal,172M,0,1,0,0
WPR14LA031,10/24/2013,Big Creek,CA,37.183611,-119.138611,Non-Fatal,PA 28-180,0,1,0,0
CEN14CA025,10/24/2013,El Paso,TX,31.719167,-106.236111,Non-Fatal,A 1B,0,0,0,1
WPR14LA027,10/23/2013,Tucson,AZ,32.112222,-110.933334,Non-Fatal,PA-23-150,0,1,0,0
WPR14CA026,10/23/2013,Lodi,CA,38.203333,-121.266667,Non-Fatal,T210 - H,0,0,0,1
ERA14CA017,10/23/2013,Burnsville,NC,35.868611,-82.341666,Non-Fatal,A36,0,2,0,0
CEN14LA022,10/23/2013,Omaha,TX,33.214722,94.775278,Non-Fatal,OH-58C,0,0,0,1
CEN14CA016,10/23/2013,Eagle Pass,TX,28.620556,-100.156389,Non-Fatal,AS350B3,0,0,0,2
WPR14CA033,10/22/2013,Watsonville,CA,36.935833,-121.789444,Non-Fatal,P92,0,0,0,2
ERA14FA010,10/22/2013,Somerville,TN,35.23,-89.380278,Fatal(3),AS 350 B3,3,0,0,0
ERA14CA016,10/22/2013,Lumberton,NJ,39.934166,-74.807222,Non-Fatal,LANCAIR 320,0,0,0,2
ERA14CA030,10/21/2013,Charleston,MS,33.991389,-90.078611,Non-Fatal,AT 502,0,0,0,1
CEN14FA019,10/21/2013,Talihina,OK,34.618889,-95.028611,Fatal(1),PA 28-140,1,0,0,0
CEN14FA014,10/21/2013,Huntsville,AR,35.896389,-93.760556,Fatal(2),PA 32R-301,2,0,0,0
ERA14CA009,10/20/2013,Madison,MS,32.570556,-90.158611,Non-Fatal,AS 350 B2,0,0,3,0
CEN14CA039,10/20/2013,Festus,MO,38.191389,-90.385833,Non-Fatal,PARSONS STILES GYRO,0,0,2,0
WPR14CA021,10/19/2013,Tucson,AZ,32.142222,111.174723,Non-Fatal,PA28 - 160,0,0,0,1
ERA14LA011,10/19/2013,Tampa,FL,28.017778,-82.341666,Fatal(1),B75N1,1,0,0,2
ERA14LA005,10/19/2013,Punta Gorda,FL,26.918889,-81.990833,Non-Fatal,PITTS S 1T,0,0,0,1
ERA14LA004,10/19/2013,Zephyrhills,FL,28.228056,-82.155833,Non-Fatal,ZENAIR 701,0,0,0,2
ERA14CA031,10/19/2013,Eighty Four,PA,40.130556,-80.096111,Non-Fatal,SGS 1 26E,0,1,0,0
ERA14CA021,10/19/2013,Northeast Carry,ME,45.873611,-69.627778,Non-Fatal,A185F,0,0,2,0
CEN14LA021,10/19/2013,New Waverly,TX,30.547222,-95.436389,Non-Fatal,RV 4,0,0,0,1
CEN14LA011,10/19/2013,Boulder,CO,40.039444,-105.225834,Non-Fatal,LONG EZ,0,0,0,2
ERA14FA002,10/18/2013,Tifton,GA,31.572223,-83.605278,Fatal(1),PA-28R-180,1,0,0,0
CEN14FA009,10/18/2013,Derby,KS,37.5225,-97.2175,Fatal(2),500,2,0,0,0
WPR14CA020,10/17/2013,Milford,UT,38.9,113.366667,Non-Fatal,ZENITH 701,0,0,0,1
WPR14CA019,10/17/2013,Sedro Woolley,WA,48.59,122.256389,Non-Fatal,R44 - II,0,0,0,2
ERA14LA022,10/17/2013,Franklin,NC,35.222223,-83.42,Non-Fatal,PA 31-350,0,0,0,8
ERA14CA003,10/17/2013,Slatington Airport,PA,40.764167,-75.604722,Non-Fatal,305A,0,0,1,0
ANC14FA002,10/17/2013,Fairbanks,AK,64.796111,-147.880834,Fatal(1),172C,1,2,0,0
WPR14CA018,10/16/2013,Las Vegas,NV,35.972778,-115.134444,Non-Fatal,PA 28R-201,0,0,0,2
ERA14LA018,10/16/2013,Palatine,NY,42.983334,-74.516667,Non-Fatal,SONEX,0,0,0,1
ERA14CA012,10/15/2013,Somerville,NJ,40.626111,-74.670278,Non-Fatal,WACO YMF,0,0,0,2
ENG14IA001,10/15/2013,Greenville,TX,33.201111,-96.201111,Incident,A319 132,0,0,0,150
WPR14CA017,10/14/2013,Orland,CA,39.721389,-122.146944,Non-Fatal,QUICKSILVER MXLII,0,0,0,1
ERA14CA037,10/14/2013,Newport,NH,43.393611,-72.197222,Non-Fatal,PA 28-150,0,0,0,4
ERA14CA001,10/14/2013,Christmas,FL,28.533334,-8,Non-Fatal,172P,0,0,0,2
CEN14LA030,10/14/2013,Hector,AR,35.463056,-92.979167,Non-Fatal,PA 32R-300,0,0,2,2
CEN14CA018,10/13/2013,Telluride,CO,37.953889,-107.908611,Non-Fatal,A36,0,0,0,1
WPR14LA051,10/12/2013,Calexico,CA,32.667223,-115.5175,Non-Fatal,PA 31P,0,0,0,3
WPR14CA016,10/12/2013,Willows,CA,39.455556,-122.236944,Non-Fatal,7ECA,0,0,0,2
WPR14CA015,10/12/2013,Rio Verde,AZ,34.16,-111.726667,Non-Fatal,A-1C-180,0,0,0,2
CEN14LA053,10/12/2013,Lincoln,NE,40.850833,96.759167,Non-Fatal,525A,0,0,0,2
WPR14LA014,10/11/2013,Seely,CA,32.701944,-115.772778,Non-Fatal,206L 1,0,0,0,3
WPR14CA013,10/11/2013,Cody,WY,44.75,-110.183334,Non-Fatal,PA 28-180,0,1,1,0
CEN14LA045,10/11/2013,French Lick,IN,38.506111,-86.636944,Non-Fatal,RANS S-12,0,0,0,2
ERA14LA006,10/10/2013,Hampton Roads,VA,36.780278,-76.448889,Fatal(4),340A,4,0,0,0
CEN14CA023,10/10/2013,Tomball,TX,30.121945,-95.559444,Non-Fatal,172R,0,0,0,1
WPR14FA012,10/09/2013,Julian,CA,33.1625,116.959722,Fatal(2),M20E,2,0,0,0
CEN14LA007,10/09/2013,Rio Rancho,NM,35.314722,-106.648611,Non-Fatal,V 77,0,2,0,0
CEN14FA004,10/09/2013,Venice,LA,29.55,88.7,Fatal(1),206L 3,1,3,0,0
CEN14CA026,10/09/2013,Onaway,MI,45.370834,-84.225,Non-Fatal,310R,0,0,0,2
WPR14CA011,10/08/2013,Sedona,AZ,34.848333,-111.788333,Non-Fatal,M20J,0,2,1,0
ERA14LA050,10/08/2013,Ridgely,MD,38.97,-75.866389,Non-Fatal,170,0,0,0,1
ERA14IA019,10/08/2013,Tallahassee,FL,30.396666,-84.351389,Incident,PA 46 350P,0,0,0,1
ANC14CA001,10/07/2013,Iliamna,AK,59.376945,-155.155833,Non-Fatal,PA 18-150,0,0,0,1
WPR14LA008,10/06/2013,Paducah,TX,33.939444,-100.072223,Fatal(1),369,1,0,0,0
WPR14LA007,10/06/2013,Tinian Island,MP,15.062222,145.623611,Fatal(3),PA 32-300,3,4,0,0
WPR14CA009,10/06/2013,Tilden,TX,28.466667,-98.583334,Non-Fatal,A36,0,1,0,0
ERA14LA007,10/06/2013,Culebra,PR,18.25,-65.383334,Fatal(1),BN-2A-8,1,0,0,0
WPR14CA006,10/05/2013,Nampa,ID,43.577223,-116.615833,Non-Fatal,ROTORWAY EXEC 162F,0,0,1,0
ERA14LA008,10/05/2013,Gainesville,FL,29.646389,-82.354167,Non-Fatal,172 - F,0,0,2,0
CEN14LA005,10/05/2013,Albuquerque,NM,35.084722,-106.651111,Non-Fatal,N105 - NO SERIES,0,1,0,2
ERA14LA015,10/04/2013,Selinsgrove,PA,40.820834,-76.863889,Non-Fatal,PA 22-135,0,2,0,0
WPR14CA004,10/03/2013,Snohomish,WA,47.9,-122.1,Non-Fatal,CH701,0,0,1,0
ERA14LA035,10/03/2013,Eustis,FL,28.839444,-81.63,Non-Fatal,EDGE EXECUTIVE,0,1,0,0
CEN14CA041,10/02/2013,Benton Harbor,MI,42.126667,-86.428056,Non-Fatal,PA 28-180,0,0,1,1
CEN14CA017,10/02/2013,Chicago,IL,41.535,-87.529445,Non-Fatal,R22 - BETA,0,0,0,2
WPR14CA003,10/01/2013,Wellton,AZ,32.72,-114.2875,Non-Fatal,AT 402B,0,0,0,1
WPR14CA002,10/01/2013,Waco,TX,31.549722,-97.129167,Non-Fatal,AT 401,0,0,0,1
WPR14CA001,10/01/2013,Mount Pleasant,UT,39.526389,-111.475834,Non-Fatal,UNKNOWN,0,0,0,1
ERA13CA435,09/30/2013,Thomaston,GA,32.958333,-84.273611,Non-Fatal,65 CA,0,0,2,0
WPR13LA429,09/29/2013,Santa Maria,CA,34.967223,-120.544444,Non-Fatal,OH-13E/M74,0,0,1,0
WPR13FA430,09/29/2013,Santa Monica,CA,34.015833,-193.216667,Fatal(4),525A,4,0,0,0
ERA13LA437,09/29/2013,Felda,FL,26.5225,-81.558333,Non-Fatal,MOSQUITO XEL,0,1,0,0
ERA13CA436,09/29/2013,Lumberton,NJ,39.933889,-74.804444,Non-Fatal,A23 24,0,0,0,1
CEN13LA571,09/29/2013,Santa Teresa,NM,31.881111,-100.704722,Non-Fatal,182J,0,0,0,1
CEN13LA570,09/29/2013,Algona,IA,43.075278,-94.268056,Non-Fatal,PA 28-181,0,0,0,2
CEN13CA569,09/29/2013,Hatley,WI,45.947777,-92.108333,Non-Fatal,RV 12,0,0,0,1
WPR13CA428,09/28/2013,Big Bear,CA,34.263611,-116.866111,Non-Fatal,182Q,0,0,2,0
ANC13CA106,09/28/2013,Pilot Point,AK,57.580278,-157.571945,Non-Fatal,185E,0,0,0,1
WPR13CA427,09/27/2013,Dell,MT,44.723334,-112.698333,Non-Fatal,A-1C-200,0,0,0,2
ERA13LA433,09/27/2013,Bloomsburg,PA,40.991389,-76.466667,Fatal(1),F 28C,1,0,0,1
ERA13FA432,09/27/2013,Pahokee,FL,26.068611,-80.686944,Fatal(1),S 12-E,1,0,0,0
WPR14LA036,09/26/2013,Scipio,UT,39.058611,-112.042222,Non-Fatal,T210M,0,0,0,5
CEN13CA564,09/26/2013,Watkins,CO,39.793889,-104.5475,Non-Fatal,DOMINATOR,0,1,0,0
WPR13CA424,09/25/2013,Flagstaff,AZ,35.368334,-111.855833,Non-Fatal,R44 - II,0,0,3,1
CEN13LA561,09/25/2013,Ulysses,KS,37.603889,-101.373611,Non-Fatal,620,0,0,0,1
CEN13FA558,09/25/2013,Bolingbrook,IL,41.691111,-88.125,Fatal(2),SR20,2,0,0,0
CEN13LA557,09/24/2013,Urbana,IN,40.878334,-85.778056,Non-Fatal,35 B33,0,1,1,1
CEN13CA556,09/24/2013,Wadsworth,OH,41.028334,-81.798333,Non-Fatal,152,0,1,0,0
ANC13CA105,09/24/2013,Big Lake,AK,61.536111,-149.813889,Non-Fatal,PA 18,0,0,0,2
WPR13LA420,09/23/2013,Williams,CA,39.111111,-122.311111,Fatal(1),RV6,1,0,0,0
WPR13LA419,09/23/2013,Sandpoint,ID,48.299444,116.560278,Non-Fatal,PA60 602P,0,0,0,3
ERA13LA428,09/23/2013,Wellington,FL,26.647222,-80.331945,Non-Fatal,A36,0,0,0,1
CEN13LA562,09/23/2013,Mack,CO,39.268056,-108.864167,Non-Fatal,SR22,0,0,1,2
CEN13LA555,09/23/2013,St. Joseph,MI,42.015833,-86.427778,Non-Fatal,DREAM MACHINE,0,1,0,1
ERA13LA429,09/22/2013,Rhinebeck,NY,41.969723,-73.864444,Non-Fatal,DH 82A,0,0,0,1
ERA13CA426,09/22/2013,Pahokee,FL,26.785,-80.693333,Non-Fatal,VELOCITY XL/RG,0,2,0,0
CEN13LA567,09/22/2013,Laguna Park,TX,31.863333,-97.381111,Non-Fatal,BC12 D,0,0,0,1
CEN13CA559,09/22/2013,Goodhue,MN,44.401111,-92.6875,Non-Fatal,182Q,0,0,0,2
WPR13FA417,09/21/2013,Cordes Lakes,AZ,34.395277,112.046944,Fatal(2),UH-1V,2,0,0,0
WPR13CA426,09/21/2013,Lancaster,CA,34.740833,118.218611,Non-Fatal,PA28 - 161,0,0,0,1
WPR13CA422,09/21/2013,Seattle,WA,47.53,112.301944,Non-Fatal,35 - UNDESIGNAT,0,0,0,1
WPR13CA418,09/21/2013,Morgan,UT,48.148889,111.766667,Non-Fatal,G 103 TWIN II,0,0,0,2
ERA13CA427,09/21/2013,Middletown Springs,VT,43.798055,-73.214722,Non-Fatal,182E,0,0,2,0
ERA13FA424,09/20/2013,Hamilton Township,NJ,39.506389,-74.700556,Fatal(1),RV7A,1,0,0,0
